Material,Isotope,Activity,Sigma
SSi,Ac228,0.0,0.001
SSi,Bi214,0.006,0.002
SSi,Co60,0.015,0.007
SSi,Cs137,0.0,0.0003
SSi,K40,0.0,0.004
SSi,Pb210,0.0,0.1
SSi,Pb212,0.007,0.005
SSi,Pb214,0.0,0.001
SSi,Th232,0.0021000,0.011
SSi,Tl208,0.006,0.004
SSi,U235,0.003,0.001
SSi,U238,0.0,0.0062
Cu,K40,0.0,0.0003
Cu,Th232,0.0,0.002
Cu,U238,0.0,0.0006
PCu,K40,0.0,0.0003
PCu,Th232,0.0,0.002
PCu,U238,0.0,0.0006
Pb,K40,0.0,0.00133
Pb,Th232,0.0,0.12
Pb,U238,0.0014399,0.00131
PE,K40,0.0,0.001
PE,Co60,0.0,5.999995e-05
PE,Cs137,0.0,5.999995e-05
PE,Th232,0.0003,7.000001e-05
PE,U238,0.00065,8e-05
Ti,Co60,0.0,0.00017
Ti,Cs137,0.0,0.000239998
Ti,K40,0.0,0.0015
Ti,Ra226,0.0,0.00058
Ti,Sc46,0.0044,0.0003
Ti,Th228,0.0007,0.003
Ti,Th232,0.0,0.000810001
Ti,U235,0.0014,0.003
Ti,U238,0.027,0.006
Brass,K40,0.07,0.001
Brass,Th232,0.0200,0.001
Brass,Pb210,3.0,0.001
cSSi,Co60,0.0,0.1
cSSi,Cs137,0.31,5
cSSi,K40,1.7,5
cSSi,Th228,5.4,4
cSSi,Th232,2.2,3
cSSi,Ra226,2.0,2
cSSi,U235,0.0,0.9
cSSi,U238,0.0,11
