Material,Isotope,Activity,Sigma
SSi,Ac228,0.0,0.001
SSi,Bi214,0.006,0.002
SSi,Co60,0.015,0.007
SSi,Cs137,0.0,0.0003
SSi,K40,0.0,0.004
SSi,Pb210,0.0,0.1
SSi,Pb212,0.007,0.005
SSi,Pb214,0.0,0.001
SSi,Th232,0.0021000,0.011
SSi,Tl208,0.006,0.004
SSi,U235,0.003,0.001
SSi,U238,0.0,0.0062
Cu,K40,0.0,0.0003
Cu,Th232,0.0,0.002
Cu,U238,0.0,0.0006
PCu,K40,0.0,0.0003
PCu,Th232,0.0,0.002
PCu,U238,0.0,0.0006
Pb,K40,0.0,0.00133
Pb,Th232,0.0,0.12
Pb,U238,0.0014399,0.00131
PE,K40,0.0,0.001
PE,Co60,0.0,5.999995e-05
PE,Cs137,0.0,5.999995e-05
PE,Th232,0.0003,7.000001e-05
PE,U238,0.00065,8e-05
ti,Co60,0.0,0.00017
ti,Cs137,0.0,0.000239998
ti,K40,0.0,0.0015
ti,Ra226,0.0,0.00058
ti,Sc46,0.0044,0.0003
ti,Th228,0.0007,0.003
ti,Th232,0.0,0.000810001
ti,U235,0.0014,0.003
ti,U238,0.027,0.006
Brass,K40,0.07,0.001
Brass,Th232,0.0200,0.001
Brass,Pb210,3.0,0.001
cSSi,Ac228,0.0,0.00
cSSi,Bi214,0.006,0.00
cSSi,Co60,0.0,0.0008
cSSi,Cs137,0.0,0.0002
cSSi,K40,0.0,0.003
cSSi,Pb210,0.0,0.0
cSSi,Pb212,0.0,0.000
cSSi,Pb214,0.0,0.000
cSSi,Th232,0.0011,0.003
cSSi,Tl208,0.0,0.00
cSSi,U235,0.0,0.0008
cSSi,U238,0.0,0.0021
